char,count
 ,4909
n,1623
i,1060
a,963
í,816
à,797
á,723
ọ,715
o,679
l,653
k,646
r,611
t,531
ì,452
b,426
m,414
w,404
ú,396
j,376
d,371
ẹ,354
y,319
e,304
gb,302
s,298
ò,294
ọ̀,278
ó,265
p,243
f,240
é,234
u,228
ẹ̀,212
ẹ́,182
ọ́,180
g,160
ù,158
è,137
ṣ,120
",",64
ń,37
h,29
-,26
',21
ǹ,4
?,3
ḿ,1
(,1
),1
